ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10327,AAS,1010,100,Lecture,4,James La Fleur,TuTh 12:30PM - 1:45PM,Wilson Hall 301,Introduction to African-American and African Studies I,,Open,0,120,0
10330,AAS,1010,101,Discussion,4,Lindsey Jones,Th 6:00PM - 6:50PM,New Cabell Hall 056,Introduction to African-American and African Studies I,,Open,0,20,0
10331,AAS,1010,102,Discussion,4,Alec Hickmott,We 5:00PM - 5:50PM,New Cabell Hall 209,Introduction to African-American and African Studies I,,Open,0,20,0
10328,AAS,1010,103,Discussion,4,Lindsey Jones,Th 7:00PM - 7:50PM,New Cabell Hall 056,Introduction to African-American and African Studies I,,Open,0,20,0
10329,AAS,1010,104,Discussion,4,Lindsey Jones,Th 8:00PM - 8:50PM,New Cabell Hall 056,Introduction to African-American and African Studies I,,Open,0,20,0
10332,AAS,1010,105,Discussion,4,Alec Hickmott,We 6:00PM - 6:50PM,New Cabell Hall 209,Introduction to African-American and African Studies I,,Open,0,20,0
10333,AAS,1010,106,Discussion,4,Alec Hickmott,We 7:00PM - 7:50PM,New Cabell Hall 209,Introduction to African-American and African Studies I,,Open,0,20,0
19325,AAS,2559,1,Seminar,3,Njelle Hamilton,Tu 5:00PM - 7:30PM,New Cabell Hall 209,New Course in African and African American Studies,"Routes, Writing, Reggae",Open,0,18,0
19326,AAS,2559,2,Seminar,3,Maurice Wallace,TuTh 2:00PM - 3:15PM,Physics Bldg 204,New Course in African and African American Studies,,Open,0,75,0
14480,AAS,3200,1,Seminar,3,Mark Hadley,TuTh 9:30AM - 10:45AM,Nau Hall 241,"Martin, Malcolm and America",,Open,0,12,0
15738,AAS,3500,2,Seminar,3,Lisa Shutt,We 3:30PM - 6:00PM,New Cabell Hall 027,Intermediate Seminar in African-American & African Studies,African Worlds in Biography,Open,0,15,0
19279,AAS,3559,1,Seminar,3,Andrew Kahrl,MoWe 2:00PM - 3:15PM,Nau Hall 242,New Course in African and African American Studies,,Open,0,12,0
18753,AAS,3652,1,Seminar,3,Andrew Kahrl,MoWeFr 10:00AM - 10:50AM,Nau Hall 141,African American History since 1865,,Open,0,15,0
13433,AAS,4070,1,Lecture,3,Claudrena Harold,TBA,TBA,Directed Reading and Research,,Open,0,10,0
11736,AAS,4570,2,Seminar,3,Lisa Shutt,Mo 3:30PM - 6:00PM,New Cabell Hall 115,Advanced Research Seminar in African-American & African Studies,Africa in the US Media,Open,0,12,0
13243,AAS,4993,1,Independent Study,1 - 12,Maurice Apprey,TBA,TBA,Independent Study,,Open,0,2,0
16035,AAS,4993,2,Independent Study,1 - 12,Lisa Shutt,TBA,TBA,Independent Study,,Open,0,2,0
19323,AAS,4993,3,Independent Study,1 - 12,Claudrena Harold,TBA,TBA,Independent Study,,Open,0,2,0
18489,AIRS,100,1,Laboratory,0,Nina Rourke,Tu 3:30PM - 5:30PM,TBA,Leadership Laboratory,,Open,0,219,0
18490,AIRS,100,2,Laboratory,0,Nina Rourke,Sa 11:00AM - 1:00PM,TBA,Leadership Laboratory,,Open,0,30,0
18484,AIRS,1100,1,Lecture,1,Nina Rourke,Tu 1:00PM - 1:50PM,TBA,The Foundations of the U.S. Air Force,,Open,0,50,0
18485,AIRS,1100,2,Lecture,1,Nina Rourke,Th 2:00PM - 2:50PM,Shannon House 107,The Foundations of the U.S. Air Force,,Open,0,20,0
18486,AIRS,2100,1,Lecture,1,Nina Rourke,Tu 2:00PM - 2:50PM,TBA,The Evolution of Air and Space Power,,Open,0,49,0
18487,AIRS,2100,2,Lecture,1,Nina Rourke,Th 3:00PM - 3:50PM,Shannon House 109,The Evolution of Air and Space Power,,Open,0,20,0
18491,AIRS,3100,1,Lecture,3,Jennifer Hubal,Tu 12:30PM - 1:45PM,TBA,Concepts of Air Force Leadership and Management,,Open,0,25,0
18492,AIRS,3100,2,Lecture,3,Jennifer Hubal,We 12:30PM - 1:45PM,Astronomy Bldg 265,Concepts of Air Force Leadership and Management,,Open,0,25,0
18488,AIRS,4100,1,Lecture,3,Steven Hiss,Tu 12:30PM - 1:45PM,Shannon House 109,National Security Affairs/Preparation for Active Duty,,Open,0,20,0
10148,ALAR,7010,1,Studio,6,Shiqiao Li,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,15,0
10164,ALAR,7010,2,Studio,6,Peter Waldman,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,10,0
10165,ALAR,7010,3,Studio,6,Margarita Jover Biboum,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,15,0
10166,ALAR,7010,4,Studio,6,Staff,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,15,0
10167,ALAR,7010,5,Studio,6,Staff,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,15,0
10299,ALAR,7010,6,Studio,6,"Ignacio Alday Sanz,Megan Suau,Pankaj Gupta",MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,8,0
10305,ALAR,7010,7,Studio,6,Julie Bargmann,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,10,0
10306,ALAR,7010,8,Studio,6,Brian Osborn,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,10,0
10311,ALAR,7010,9,Studio,6,Staff,MoFr 2:00PM - 5:45PM,Campbell Hall 401,Research Studio 1,,Open,0,2,0
