ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10301,AAS,1010,100,Lecture,"4","James La Fleur","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies I","",Closed,122,120,0
10304,AAS,1010,101,Discussion,"4","Lindsey Jones","Th 6:00PM - 6:50PM","New Cabell Hall 389","Introduction to African-American and African Studies I","",Closed,21,20,0
10305,AAS,1010,102,Discussion,"4","Alec Hickmott","We 5:00PM - 5:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Closed,21,20,0
10302,AAS,1010,103,Discussion,"4","Lindsey Jones","Th 7:00PM - 7:50PM","New Cabell Hall 389","Introduction to African-American and African Studies I","",Closed,21,20,0
10303,AAS,1010,104,Discussion,"4","Lindsey Jones","Th 8:00PM - 8:50PM","New Cabell Hall 283","Introduction to African-American and African Studies I","",Open,17,20,0
10306,AAS,1010,105,Discussion,"4","Alec Hickmott","We 6:00PM - 6:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Closed,21,20,0
10307,AAS,1010,106,Discussion,"4","Alec Hickmott","We 7:00PM - 7:50PM","New Cabell Hall 209","Introduction to African-American and African Studies I","",Closed,21,20,0
15728,AAS,3200,001,Seminar,"3","Mark Hadley","TuTh 9:30AM - 10:45AM","New Cabell Hall 287","Martin, Malcolm and America","",Closed,14,12,0
14044,AAS,3500,001,Seminar,"3","Sabrina Pendergrass","TuTh 11:00AM - 12:15PM","Fayerweather Hall 206","Intermediate Seminar in African-American & African Studies","SS PerspAf-Amer&AfricanStudies",Closed,20,20,0
20638,AAS,3500,002,Seminar,"3","Lisa Shutt","Tu 3:30PM - 6:00PM","New Cabell Hall 038","Intermediate Seminar in African-American & African Studies","African Worlds in Biography",Closed,15,15,0
20385,AAS,3559,001,Seminar,"3","John Mason","TuTh 3:30PM - 4:45PM","New Cabell Hall 211","New Course in African and African American Studies","Gordon Parks-Documentary Trad",Closed,5,5,0
14090,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,1,10,0
20220,AAS,4570,001,Seminar,"3","Njelle Hamilton","Tu 6:30PM - 9:00PM","Nau Hall 287","Advanced Research Seminar in African-American & African Studies","Trauma in African Diaspora Lit",Open,4,6,0
11896,AAS,4570,002,Seminar,"3","Lisa Shutt","MoWe 2:00PM - 3:15PM","Dell 1 102","Advanced Research Seminar in African-American & African Studies","Africa in the US Media",Open,16,18,0
13818,AAS,4993,001,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Closed,6,5,0
22239,AAS,4993,002,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,1,5,0
21321,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Open,15,24,0
21322,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 10:00PM","Northern Virginia Center","Introductory Accounting II","",Open,10,24,0
