ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10366,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Minor Hall 125","Introduction to African-American and African Studies II","",Closed,139,118,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10371,AAS,1020,101,Discussion,"4","Kimberly Love","Th 6:00PM - 6:50PM","New Cabell Hall 027","Introduction to African-American and African Studies II","",Closed,21,18,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10370,AAS,1020,102,Discussion,"4","Kimberly Love","Th 4:00PM - 4:50PM","Maury Hall 113","Introduction to African-American and African Studies II","",Closed,31,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10369,AAS,1020,103,Discussion,"4","Gillet Rosenblith","We 5:00PM - 5:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,24,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10368,AAS,1020,104,Discussion,"4","Gillet Rosenblith","We 7:00PM - 7:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,21,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10372,AAS,1020,105,Discussion,"4","Kimberly Love","Th 7:00PM - 7:50PM","New Cabell Hall 027","Introduction to African-American and African Studies II","",Closed,22,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
10367,AAS,1020,106,Discussion,"4","Gillet Rosenblith","We 6:00PM - 6:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,20,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
20864,AAS,2224,001,Seminar,"3","Lisa Shutt","Tu 6:30PM - 9:00PM","New Cabell Hall 132","Black Femininities and Masculinities in the US Media","",Closed,21,18,0,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
16131,AAS,3456,001,Seminar,"3","Joseph Hylton","MoWeFr 9:00AM - 9:50AM","New Cabell Hall 111","The Supreme Court and the Civil Rights Movement","",Open,13,20,0,"This course explores the role of the United States Supreme Court in defining the legality of racial distinctions in the United States in the post-Civil War era.  Special attention is paid to the role of the court's landmark 1954 decision, Brown v. Board of Education.  The class will be taught in a discussion format based upon assigned readings."
16134,AAS,3500,001,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 027","Intermediate Seminar in African-American & African Studies","Race, Culture and Inequality",Closed,24,24,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
