ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10264,AAS,1010,100,Lecture,"4","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies I","",Closed,121,120,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10267,AAS,1010,101,Discussion,"4","Daren Ray","Tu 4:00PM - 4:50PM","New Cabell Hall 338","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10268,AAS,1010,102,Discussion,"4","Mateusz Liese","We 5:00PM - 5:50PM","New Cabell Hall 320","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10265,AAS,1010,103,Discussion,"4","Daren Ray","We 1:00PM - 1:50PM","New Cabell Hall 330","Introduction to African-American and African Studies I","",Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10266,AAS,1010,104,Discussion,"4","Mateusz Liese","We 2:00PM - 2:50PM","New Cabell Hall 331","Introduction to African-American and African Studies I","",Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10269,AAS,1010,105,Discussion,"4","Daren Ray","Th 10:00AM - 10:50AM","New Cabell Hall 330","Introduction to African-American and African Studies I","",Closed,21,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
10270,AAS,1010,106,Discussion,"4","Mateusz Liese","Th 11:00AM - 11:50AM","Maury Hall 113","Introduction to African-American and African Studies I","",Closed,23,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century."
21442,AAS,2559,001,Seminar,"3","Lisa Shutt","Mo 2:00PM - 4:30PM","Dell 1 102","New Course in African and African American Studies","Black Feminity & Masculinitiy",Closed,16,15,0,"New course in the subject of African and African American Studies"
19787,AAS,2700,001,Lecture,"3","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Gibson 211","Festivals of the Americas","",Open,10,20,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
21938,AAS,2700,101,Discussion,"3","Guy Aiken","Fr 10:00AM - 10:50AM","Cauthen House 134","Festivals of the Americas","",Open,4,7,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
21939,AAS,2700,102,Discussion,"3","Guy Aiken","Fr 11:00AM - 11:50AM","Cauthen House 134","Festivals of the Americas","",Open,2,7,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
21940,AAS,2700,103,Discussion,"3","Guy Aiken","Fr 12:00PM - 12:50PM","Cauthen House 134","Festivals of the Americas","",Open,4,6,0,"Communities throughout the Caribbean, and South, Central and North America celebrate festivals which are rooted in religious devotion, and which serve to mark sacred time and and to assert claims about religious, ethnic, and national identities. The class will read ethnographic accounts and listen to musical recordings of signature religious festivals--such as Saint Patrick's Day in Boston, Mardi Gras in New Orleans, and Carnival in Brazil."
19788,AAS,3280,001,Lecture,"3","Kenrick Grandison","Tu 6:30PM - 9:00PM","New Cabell Hall 542","Reading the Black College Campus","",Open,8,10,0,"Historically Black Colleges and University campuses are records of the process of democratizing (extending to excluded social groups such as African-Americans) opportunities for higher education in America.  Through landscapes, we trace this record, unearthing the politics of landscapes via direct experience as well as via interpretations of representations of landscapes in literature, visual arts, maps, plans, and photographs."
15007,AAS,3456,001,Seminar,"3","Joseph Hylton","MoWe 4:00PM - 5:15PM","Wilson Hall 215","The Supreme Court and the Civil Rights Movement","",Open,12,20,0,"This course explores the role of the United States Supreme Court in defining the legality of racial distinctions in the United States in the post-Civil War era.  Special attention is paid to the role of the court¿s landmark 1954 decision, Brown v. Board of Education.  The class will be taught in a discussion format based upon assigned readings."
12459,AAS,3500,001,Seminar,"3","Ivar Hultin","TuTh 11:00AM - 12:15PM","New Cabell Hall 320","Intermediate Seminar in African-American & African Studies","Developmnt & Culture in Africa",Closed,10,10,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
15520,AAS,3500,002,Seminar,"3","Claudrena Harold","TuTh 2:00PM - 3:15PM","Chemistry Bldg 304","Intermediate Seminar in African-American & African Studies","Black Fire: Af Am Expression",Closed,65,60,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
21455,AAS,3500,003,Seminar,"3","Barbara Boswell","TuTh 9:30AM - 10:45AM","Maury Hall 113","Intermediate Seminar in African-American & African Studies","Women Writing Africa",Open,8,15,0,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19789,AAS,3559,001,Seminar,"3","Pamela Reynolds","Tu 3:30PM - 6:00PM","Wilson Hall 141A","New Course in African and African American Studies","Af-American Health Professnals",Open,5,18,0,"New course in the subject of African and African American Studies."
20520,AAS,3652,001,Seminar,"3","Claudrena Harold","TuTh 11:00AM - 12:15PM","Nau 211","African American History since 1865","",Closed,20,20,0,"This course surveys the major political, economic, and cultural developments in black America from the end of the Civil War to the present.  Through an engagement with various primary and secondary texts, and multimedia, students examine African Americans' endeavors to build strong families and communities, create socially meaningful art, and establish a political infrastructure capable of bringing into existence a more just and humane world."
15689,AAS,4070,001,Lecture,"3","Claudrena Harold","TBA","TBA","Directed Reading and Research","",Open,5,10,0,"Students in the Distinguished Majors Program should enroll in this course for their first semester of  thesis research."
12521,AAS,4500,001,Seminar,"3","Lisa Woolfork","TuTh 11:00AM - 12:15PM","Gibson 342","Advanced Seminar in African-American and African Studies","Fictions of Black Identity",Open,6,9,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminatiing in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
19849,AAS,4500,002,Seminar,"3","Kenrick Grandison","Th 6:30PM - 9:00PM","New Cabell Hall 542","Advanced Seminar in African-American and African Studies","Race in American Places",Open,3,9,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminatiing in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
12458,AAS,4570,001,Seminar,"3","Dennis Tyler","Th 3:30PM - 6:00PM","Bryan Hall 332","Advanced Research Seminar in African-American & African Studies","Oprah's Book Club",Open,7,15,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminatiing in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
15009,AAS,4570,002,Seminar,"3","Barbara Boswell","Mo 3:30PM - 6:00PM","Wilson Hall 141B","Advanced Research Seminar in African-American & African Studies","The Black Body in Translation",Open,3,12,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminatiing in the composition of a research paper. Topics change from term to term, and vary with the instructor.  Primarily for fourth-year students but open to others."
15008,AAS,4993,002,Independent Study,"3","Maurice Apprey","TBA","TBA","Independent Study","",Open,0,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
20944,ACCT,2010,701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","Northern Virginia Center","Introductory Accounting","",Closed,12,12,0,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
20945,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Northern Virginia Center","Introductory Accounting II","",Closed,4,4,0,"Continuation of ACCT 2010. Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized.  Prerequisite: ACCT 2010."
