ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11033,AAS,2224,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Monroe Hall 111","Black Femininities and Masculinities in the US Media","",Open,17,18,0
12245,AAS,3400,001,Seminar,"3","Clare Terni","MoTuWeThFr 10:30AM - 3:30PM","Minor Hall 130","Changing Worlds, Making Tradition: Culture and Identity in South Africa","",Open,8,20,0
12246,AAS,3500,001,Seminar,"3","Laura Helton","MoTuWeThFr 10:30AM - 12:45PM","Minor Hall 130","Intermediate Seminar in African-American & African Studies","Mapping VA, Civil Rights Era",Open,4,30,0
12247,AAS,3500,002,Seminar,"3","Latasha Levy, Nicole Burrowes","MoTuWeThFr 10:30AM - 12:45PM","Chemistry Bldg 303","Intermediate Seminar in African-American & African Studies","Freedom Summer",Open,7,30,0
11034,AAS,3749,001,Seminar,"3","Lisa Shutt","MoTuWeThFr 1:00PM - 3:15PM","Minor Hall 130","Food and Meaning in Africa and the Diaspora","",Open,12,18,0
11049,AAS,4993,003,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,0,30,0
11103,AAS,4993,004,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Open,0,30,0
12905,AAS,4993,005,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,4,30,0
12316,ACCT,2010,701,Lecture,"3","Gary Brooks","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Introductory Accounting","",Open,6,24,0
12317,ACCT,2020,701,Lecture,"3","Noel Montesa","MoTh 6:30PM - 9:30PM","Northern Virginia Center","Introductory Accounting II","",Open,7,24,0
12318,ACCT,3110,701,Lecture,"3","Leon Hutton","We 6:30PM - 10:00PM","Northern Virginia Center","Intermediate Accounting I","",Open,8,24,0
12319,ACCT,3120,701,Lecture,"3","Cory Kirchert","Sa 9:00AM - 1:00PM","Northern Virginia Center","Intermediate Accounting II","",Open,10,24,0
12321,ACCT,3140,701,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,14,24,0
12331,ACCT,4450,701,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","Northern Virginia Center","Federal Taxation I","",Open,3,24,0
12329,ACCT,5210,701,Lecture,"3","James Glenn","Tu 6:30PM - 10:00PM","Northern Virginia Center","Introductory Auditing","",Open,7,24,0
12332,ACCT,5460,701,Lecture,"3","Gary Dittmer","Mo 7:30PM - 9:30PM","Web-Based Course-No class mtgs","Federal Taxation II","",Open,15,24,0
10002,ALAR,5010,001,Lecture,"1","Matthew Jull","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 105","Introduction to Design","",Closed,31,30,0
10003,ALAR,5020,001,Lecture,"1","Matthew Jull","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 425","Introduction to Design Graphics","",Closed,31,30,0
10004,ALAR,5030,001,Lecture,"1","Matthew Jull","MoTuWeThFr 9:00AM - 5:00PM","Campbell Hall 158","Introduction to Design Theory and Analysis","",Open,31,35,0
12248,ANTH,1010,001,Lecture,"3","Kristin Lahatte","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","Introduction to Anthropology","",Open,14,25,0
12249,ANTH,1559,001,Lecture,"3","John Stoetzel","MoTuWeThFr 10:30AM - 12:45PM","Brooks Hall 103","New Course in Anthropology","Green Anthropology",Open,5,20,0
12250,ANTH,2230,001,Lecture,"3","Erik Stanley","MoTuWeThFr 10:30AM - 12:45PM","Maury Hall 113","Fantasy and Social Values","",Closed,20,20,0
12251,ANTH,2400,001,Lecture,"3","Melissa Maceyko","MoTuWeThFr 8:00AM - 10:15AM","Nau Hall 242","Language and Culture","",Closed,21,20,0
12256,ANTH,2500,001,Lecture,"3","Arsalan Khan","MoTuWeThFr 8:00AM - 10:15AM","Brooks Hall 103","Cultures, Regions, and Civilizations","Shamanism, Magic  & Witchcraft",Open,12,20,0
12252,ANTH,2557,001,Lecture,"3","Alessandro Questa Rebolledo","MoTuWeThFr 8:00AM - 10:15AM","Brooks Hall 103","Culture Through Film","Visual Anthropology",Open,10,20,0
12257,ANTH,2589,001,Lecture,"3","Colum Leckey, Rachel Most","MoTuWeThFr 12:00AM - 12:00AM","Contact Department","Topics in Archaeology","Puebloan SW:Past & Present",Open,4,15,0
12392,ANTH,2620,001,Lecture,"3","Grace Reynolds","MoTuWeThFr 1:00PM - 3:15PM","Brooks Hall 103","Sex, Gender, and Culture","",Open,9,20,0
12254,ANTH,3240,001,Lecture,"3","Julie Starr","MoTuWeThFr 1:00PM - 3:15PM","Brooks Hall 103","The Anthropology of Food","",Closed,20,20,3
12255,ANTH,3300,001,Lecture,"3","George Mentore","MoTuWeThFr 1:00PM - 3:15PM","Brooks Hall 103","Tournaments and Athletes","",Open,13,20,0
10704,ANTH,9999,001,Independent Study,"1 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0
10840,ANTH,9999,002,Independent Study,"1 - 12","Susan McKinnon","TBA","TBA","Non-Topical Research","",Open,0,30,0
11353,APMA,2120,001,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:30AM - 11:30AM","Thornton Hall D222","Multivariable Calculus","",Open,9,28,0
11354,APMA,2130,001,Lecture,"4","Bernard Fulgham","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 120","Ordinary Differential Equations","",Open,19,35,0
11355,APMA,3080,001,Lecture,"3","James Lark","MoTuWeThFr 1:00PM - 2:00PM","Olsson Hall 120","Linear Algebra","",Open,16,35,0
11356,APMA,3100,001,Lecture,"3","Thomas Baber","MoTuWeThFr 9:15AM - 10:15AM","Thornton Hall D221","Probability","",Open,20,35,0
11357,APMA,3110,001,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Thornton Hall D222","Applied Statistics and Probability","",Open,9,35,0
11358,APMA,3120,001,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 120","Statistics","",Open,7,35,0
10143,ARAB,1016,001,Lecture,"4","Caren Freeman, Mohammed Rabbaa, Mohammed Shihab","MoTuWeThFr 9:00AM - 5:30PM","Nau Hall 241","Intensive Introductory Arabic","",Open,7,20,0
10172,ARAB,1026,001,Lecture,"4","Caren Freeman, Mohammed Rabbaa, Mohammed Shihab","MoTuWeThFr 9:00AM - 5:30PM","Nau Hall 241","Intensive Introductory Arabic","",Open,6,20,0
10631,ARAB,116,001,Lecture,"0","Caren Freeman, Mohammed Rabbaa, Mohammed Shihab","MoTuWeThFr 9:00AM - 5:30PM","Nau Hall 241","Intensive Introductory Arabic","",Open,2,20,0
10632,ARAB,126,001,Lecture,"0","Caren Freeman, Mohammed Rabbaa, Mohammed Shihab","MoTuWeThFr 9:00AM - 5:30PM","Nau Hall 241","Intensive Introductory Arabic","",Open,1,20,0
12759,ARAB,2016,002,Lecture,"4","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 144","Intensive Intermediate Arabic","",Open,7,30,0
12760,ARAB,2026,002,Lecture,"4","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 144","Intensive Intermediate Arabic","",Open,7,30,0
12757,ARAB,216,002,Lecture,"0","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 144","Intensive Intermediate Arabic","",Open,1,30,0
12754,ARAB,2256,1,Lecture,"1.5","Bilal Maanaki, Caren Freeman","MoTuWeThFr 12:00PM - 1:00PM","New Cabell Hall 144","Introduction to Levantine Arabic-I","",Open,7,30,0
12758,ARAB,226,002,Lecture,"0","Bilal Maanaki, Caren Freeman","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 144","Intensive Intermediate Arabic","",Open,1,30,0
12755,ARAB,2266,1,Lecture,"1.5","Bilal Maanaki","MoTuWeThFr 12:00PM - 1:00PM","New Cabell Hall 144","Introduction to Levantine Arabic II","",Open,7,30,0
12751,ARAB,256,1,Lecture,"0","Bilal Maanaki, Caren Freeman","MoTuWeThFr 12:00PM - 1:00PM","New Cabell Hall 144","Introduction to Levantine Arabic-I","",Open,1,30,0
10762,ARAH,9998,001,Independent Study,"1 - 12","Douglas Fordham","TBA","TBA","Non-Topical Rsch,Doctoral Prep","",Open,0,30,0
12237,ARCH,1031,001,Studio,"4","Benjamin Gregory, Ryan Carbone","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 205","Summer Foundation Studio I","",Open,6,20,0
10008,ARCH,2011,001,Studio,"6","Eric Barr, Manuel Bailo Esteve","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","Summer Intro to Design Studio","",Open,9,20,0
10009,ARCH,2021,001,Studio,"6","W Clark","MoTuWeThFr 9:00AM - 1:00PM","Campbell Hall 325","Summer Intro to Design Studio 1","",Open,7,20,0
12238,ARCH,2040,001,Lecture,"3","Matthew Jull","MoTuWeThFr 8:00AM - 12:00PM","TBA","Introduction to Architectural Design","",Closed,4,4,0
10014,ARCH,4993,001,Independent Study,"1 - 4","Matthew Jull","TBA","TBA","Independent Study","",Open,0,30,0
12852,ARCH,4993,002,Independent Study,"1 - 4","William Sherman","TBA","TBA","Independent Study","",Open,1,30,0
10007,ARCH,5422,001,Workshop,"3","Earl Mark","MoTuWeThFr 10:30AM - 12:45PM","Campbell Hall 105","Computer Animation: Design in Motion","",Open,11,24,0
10001,ARH,1004,001,Lecture,"3","Edward Triplett","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 215","History of Architecture","",Open,5,10,0
10749,ARTH,1004,001,Lecture,"3","Edward Triplett","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 215","A History of Architecture","",Open,2,10,0
12435,ARTH,2275,001,Seminar,"3","Carmenita Higginbotham","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 206","Heroes, Superheroes and American Visual Culture","",Open,9,20,0
12258,ARTS,2220,001,Studio,"3","Lydia Moyer","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 219","Introduction to New Media I","",Open,11,15,0
12415,ARTS,2511,001,Studio,"3","David Woody","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 203","Special Topics in Photography","Documentary Photography",Open,9,12,0
12414,ARTS,2610,001,Studio,"3","Akemi Rollando","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 203","Introduction to Drawing I","",Open,11,20,0
10742,ARTS,2620,001,Studio,"3","Elizabeth Schoyer","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 319","Introduction to Drawing II","",Open,5,20,0
12627,ARTS,2670,001,Studio,"4","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 220","Introduction to Printmaking I","",Open,5,15,0
12616,ARTS,2810,001,Studio,"4","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Introduction to Sculpture I","",Open,4,20,0
12617,ARTS,2812,001,Studio,"4","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Introduction to Sculpture II","",Open,0,20,0
12628,ARTS,3670,001,Studio,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 220","Intermediate Printmaking I","",Open,2,15,0
12618,ARTS,3810,001,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Sculpture I","",Open,0,20,0
12629,ARTS,4670,001,Studio,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 220","Advanced Problems in Printmaking","",Open,0,15,0
12619,ARTS,4810,001,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Advanced Sculpture I","",Open,1,20,0
12620,ARTS,4900,001,Independent Study,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Advanced Project in Art","",Open,0,20,0
10044,ASTR,1210,001,Lecture,"3","Richard Patterson","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall 107","Introduction to the Sky and Solar System","",Open,9,30,0
10045,ASTR,1220,001,Lecture,"3","Trey Wenger","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall 107","Introduction to Stars, Galaxies, and the Universe","",Open,26,30,1
10046,ASTR,3420,001,Lecture,"3","Patrick King","MoTuWeThFr 1:00PM - 3:15PM","Astronomy Bldg 265","Life Beyond the Earth","",Open,3,20,0
